Variable,Min,Max
altitude,0.0,2296.0
bio01d,-9.149993896484375,10.45001220703125
bio04d,3.1500244140625,157.55001831054688
bio12d,0.9102739691734314,21.650711059570312
bio15d,1.0523613691329956,2.7762691974639893
cdd,0.0,8.0
crs,0.0,0.0
fd,0.0,362.0
gdd5,1.9000409841537476,3858.301513671875
prsd,1.44621741771698,29.09852409362793
scd,0.0,365.0
swe,0.009359435178339481,113.7122802734375
